序号,Banner ID,终端,参考原图终端,参考原图尺寸,新版尺寸,文件大小KB,新版文件,SHA256,官方Logo角标
001,6edaf430-533a-4f30-b04f-0ff58f3b0c68,APP轮播图,APP轮播图,3580 × 1050,1000 × 206,115.6,001_6edaf430-533a-4f30-b04f-0ff58f3b0c68_8.0.jpg,0ef756407fe0d46c2e12171bdaddf2f4da3853ba4c40732e46f8f475aaf07269,无需替换
002,a8aeea70-903f-41f8-b8a9-1855e664f1af,APP轮播图 / 小程序轮播图,APP轮播图,690 × 200,1000 × 206,96.5,002_a8aeea70-903f-41f8-b8a9-1855e664f1af_8.0.jpg,d0c55284944067bb6e70e6db6d8481ade15f52cda81d4c00521a7f16aa97da59,反白
003,ee379dbf-71c6-4df6-92cf-cdbe40a52f8c,小程序轮播图,小程序轮播图,580 × 170,1000 × 206,213.8,003_ee379dbf-71c6-4df6-92cf-cdbe40a52f8c_8.0.jpg,4411aa588ea4753c30b4b595afb60f13857762d42536f22f47e56696d3e0a1e7,无需替换
004,b2feb3ca-3f3e-4bec-a95a-e93d3ea24565,APP轮播图 / 小程序轮播图,APP轮播图,1034 × 300,1000 × 206,236.5,004_b2feb3ca-3f3e-4bec-a95a-e93d3ea24565_8.0.jpg,5a560b532d44de13cca16f20d6542c6aca792225dc0f6bd791b3dca856b13feb,无需替换
005,2786b003-673f-41f0-89ca-96a39b589813,APP轮播图 / 小程序轮播图,APP轮播图,690 × 200,1000 × 206,187.2,005_2786b003-673f-41f0-89ca-96a39b589813_8.0.jpg,68b3ee5abb3c30c864bbc89a83da2a7bd73e47fc1c62f10e1e57ab9d5b8564d2,无需替换
006,0dd7c93c-0211-4ae5-8b80-a747b7942652,APP轮播图,APP轮播图,690 × 200,1000 × 206,172.8,006_0dd7c93c-0211-4ae5-8b80-a747b7942652_8.0.jpg,0fd057cc0ee3e8686d10bf40cc5e0f48823264acc3368510bc2364fd1c2496d2,彩色
007,b1d1c722-9934-4f09-873f-9e1f10085061,小程序轮播图,小程序轮播图,500 × 500,1000 × 206,119.8,007_b1d1c722-9934-4f09-873f-9e1f10085061_8.0.jpg,9f4593a50f920dcaca675470b969f62269e51ab3168a074806a60082a2401c55,无需替换
008,3a500cca-630c-4f81-b595-100bc2599639,APP轮播图 / 小程序轮播图,APP轮播图,690 × 200,1000 × 206,135.9,008_3a500cca-630c-4f81-b595-100bc2599639_8.0.jpg,c665cb23aff311a78880dba2c1698b081bb93d40e9cc7967d5bf8c6678fdf6e6,反白
009,1c91f551-5547-4f44-a770-15ee0e621803,APP轮播图,APP轮播图,690 × 200,1000 × 206,199.0,009_1c91f551-5547-4f44-a770-15ee0e621803_8.0.jpg,6e74313a3755e0f68b503b7a263ddb21e11ef0a0398fb065c29f7eafb7421c05,无需替换
010,d06dfbba-f603-4b6d-98ed-9779d78549e1,APP轮播图 / 小程序轮播图,APP轮播图,3127 × 906,1000 × 206,146.9,010_d06dfbba-f603-4b6d-98ed-9779d78549e1_8.0.jpg,31778fce4dd29163f1918e0e2157da0b09b6fe8e47f63a78bd6af6153da99ffb,无需替换
011,ffbf3c1a-13a6-4f64-bff9-6d9fc5e73fca,APP轮播图 / 小程序轮播图,APP轮播图,690 × 200,1000 × 206,96.5,011_ffbf3c1a-13a6-4f64-bff9-6d9fc5e73fca_8.0.jpg,d0c55284944067bb6e70e6db6d8481ade15f52cda81d4c00521a7f16aa97da59,反白
012,c0666c7a-b233-4b4e-9abf-52270ae7b3e0,APP轮播图,APP轮播图,2062 × 400,1000 × 206,169.7,012_c0666c7a-b233-4b4e-9abf-52270ae7b3e0_8.0.jpg,8c6760bcf7055639eea3a88497372f4139c90e16a5b2d16d3a38644491130913,无需替换
013,996cb3fc-4187-4164-9a13-f55faef62e02,APP轮播图,APP轮播图,690 × 200,1000 × 206,119.0,013_996cb3fc-4187-4164-9a13-f55faef62e02_8.0.jpg,5d3c3406417e5f844cdb69b082396a8be4878053c3a83b9f6b92e12b47baa361,反白
014,a1695379-c0ce-45b9-82c3-a5f0cfcefc7b,APP轮播图 / 小程序轮播图,APP轮播图,690 × 200,1000 × 206,198.8,014_a1695379-c0ce-45b9-82c3-a5f0cfcefc7b_8.0.jpg,854a7a61d9e9d6fa0aada1c5dab17c5e05e534ef412c1b43b18a90a559f12e50,彩色
015,79d631f3-5653-4a76-ba3c-ed178f061c40,小程序轮播图,小程序轮播图,1074 × 315,1000 × 206,166.8,015_79d631f3-5653-4a76-ba3c-ed178f061c40_8.0.jpg,77f921089de7adca7b04b0f360a440cbad496481b6e481c721358f7ed0699bdf,无需替换
016,c429be13-5c90-467e-b9f5-bbbf16fb57c9,APP轮播图 / 小程序轮播图,APP轮播图,690 × 200,1000 × 206,112.7,016_c429be13-5c90-467e-b9f5-bbbf16fb57c9_8.0.jpg,18b342ae30643c953619004f5a2595cc085731257986a7df01202c81452cd356,无需替换
017,851c1675-b74f-4d9b-b3f1-88ac3bff0de0,小程序轮播图,小程序轮播图,1152 × 337,1000 × 206,101.0,017_851c1675-b74f-4d9b-b3f1-88ac3bff0de0_8.0.jpg,849465dfa6e32c49006782ad5e31213a39eb964dff2c9e741bb2fee64d2a1c96,无需替换
018,7cfd588a-f1f0-4741-8f8b-cefd9da770c2,小程序轮播图,小程序轮播图,1074 × 315,1000 × 206,254.5,018_7cfd588a-f1f0-4741-8f8b-cefd9da770c2_8.0.jpg,6d590ae5df1dc11782af8683415e181d293757af1605fd69a7297c697404d121,无需替换
019,c00e424e-66b1-4d2e-862f-3d543dabee21,APP轮播图,APP轮播图,690 × 200,1000 × 206,178.5,019_c00e424e-66b1-4d2e-862f-3d543dabee21_8.0.jpg,b2886f6c1c93876efa4631b5012c9fb57fb61ecc18938abdae6eaa982d122b2d,反白
020,6018ae8e-623b-4972-afa8-9c8a6218919a,小程序轮播图,小程序轮播图,1074 × 315,1000 × 206,170.7,020_6018ae8e-623b-4972-afa8-9c8a6218919a_8.0.jpg,735bdd39049731333213826b1a4a3b108bd180c522b46a74a68e3d3f2ff8e8d5,反白
021,bb3283f7-e171-48b6-855a-c55d7b9e7a30,APP轮播图 / 小程序轮播图,APP轮播图,690 × 200,1000 × 206,166.2,021_bb3283f7-e171-48b6-855a-c55d7b9e7a30_8.0.jpg,34e93b030b46afbdf563223d9cca2b2fd38a3b088d7c035913f41cdc23a09527,无需替换
022,e41f32ef-77df-4914-8ed4-e35527798565,APP轮播图 / 小程序轮播图,APP轮播图,690 × 200,1000 × 206,270.8,022_e41f32ef-77df-4914-8ed4-e35527798565_8.0.jpg,35f5368fc788345976c517ff9d7a319228e5796ff57da8727375a7fc6a9b136c,无需替换
023,ada001f9-9efd-4f8c-a23a-b82b48fec382,APP轮播图 / 小程序轮播图,小程序轮播图,1074 × 315,1000 × 206,194.8,023_ada001f9-9efd-4f8c-a23a-b82b48fec382_8.0.jpg,d44bb19416efcfb8e9bf04f80ea10ad688e919ed2016f53016707d33976a7940,彩色
024,d675dbd6-4d21-490b-87b4-af48ab0ed881,APP轮播图 / 小程序轮播图,小程序轮播图,690 × 204,1000 × 206,253.3,024_d675dbd6-4d21-490b-87b4-af48ab0ed881_8.0.jpg,0de65b4d9a7651ae680a5b5fa03e9cddbd6ee01e54bb85d6adeb34000a38aaab,无需替换
025,4e8a1ab3-bf46-4976-b385-c22cfbd74870,APP轮播图 / 小程序轮播图,APP轮播图,3872 × 1120,1000 × 206,202.9,025_4e8a1ab3-bf46-4976-b385-c22cfbd74870_8.0.jpg,757a5f8aa43cf5b63487b1e9a2608bee553504dea2d2d8d55f7e4286064b7746,无需替换
